area,baths,beds,bathrooms,dining room,distance from airport (kms),drawing room,electricity backup,flooring,floors,kids play area,kitchens,lounge or sitting room,study room,waste disposal,price per sq yard,price,Flat,House,Lower Portion,Penthouse,Room,Upper Portion,Bahria Town Karachi,Cantt,Clifton,DHA Defence,Federal B Area,Gadap Town,Gulistan-e-Jauhar,Gulshan-e-Iqbal Town,Jamshed Town,Malir,North Nazimabad,Others,Scheme 33
272,5,4,5,1,1,1,1,1,0,0,1,0,0,1,128676,35000000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
60,1,1,0,0,1,0,1,1,0,0,0,0,0,0,81666,4900000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,111842,17000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,2,2,2,0,0,0,0,0,0,0,0,0,0,0,82075,8700000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,2,1,0,1,0,0,0,0,0,0,0,0,69672,8500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,0,0,1,0,0,0,0,0,1,1,0,0,72857,25500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,0,0,0,0,0,0,0,0,0,0,0,0,61475,7500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,0,0,1,0,0,0,0,0,1,0,0,0,127049,15500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
122,2,2,0,0,1,0,0,0,0,0,0,0,0,0,98360,12000000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,2,2,2,1,0,1,1,1,0,1,1,0,0,1,98641,9075000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,5,5,5,1,1,1,1,1,1,1,1,1,1,1,120000,30000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,3,3,0,0,0,0,1,1,0,0,0,0,0,0,72340,17000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,1,1,1,1,0,1,1,1,1,1,111842,17000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,4,1,1,1,1,1,0,1,1,1,1,1,68571,24000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,3,3,3,1,1,1,1,1,0,1,1,1,1,1,102500,20500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,3,3,3,1,1,1,1,1,0,1,1,1,1,1,74000,18500000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200,4,4,0,0,0,0,1,1,0,0,0,0,0,0,87500,17500000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
172,3,3,0,0,0,0,1,1,0,0,0,0,0,0,116279,20000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
133,2,2,0,0,0,0,1,1,0,0,0,0,0,0,82706,11000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,101973,15500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,3,3,3,1,0,1,0,0,0,0,0,0,0,0,128000,16000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,3,3,3,1,0,1,0,0,0,0,0,0,0,0,125000,19000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133,2,2,0,0,0,0,1,1,0,0,0,0,0,0,82706,11000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
183,3,3,0,0,0,0,1,1,0,0,0,0,0,0,109289,20000000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,4,3,4,1,1,1,1,1,1,1,1,1,1,1,112000,14000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4,4,0,0,1,0,0,0,0,0,1,0,0,0,72857,25500000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
